iter	Passed	Remaining
811	11502	2663
812	11514	2648
813	11529	2634
814	11544	2620
815	11559	2606
816	11574	2592
817	11588	2578
818	11603	2564
819	11616	2550
820	11631	2535
821	11644	2521
822	11658	2507
823	11672	2493
824	11686	2478
825	11699	2464
826	11713	2450
827	11727	2436
828	11742	2422
829	11757	2408
830	11771	2393
831	11787	2380
832	11801	2366
833	11815	2351
834	11829	2337
835	11842	2323
836	11857	2309
837	11873	2295
838	11888	2281
839	11902	2267
840	11916	2252
841	11929	2238
842	11942	2224
843	11955	2209
844	11970	2195
845	11985	2181
846	11998	2167
847	12012	2153
848	12026	2139
849	12039	2124
850	12052	2110
851	12066	2096
852	12078	2081
853	12092	2067
854	12106	2053
855	12120	2039
856	12134	2024
857	12148	2010
858	12161	1996
859	12175	1982
860	12192	1968
861	12206	1954
862	12221	1940
863	12235	1925
864	12250	1911
865	12265	1897
866	12278	1883
867	12292	1869
868	12307	1855
869	12323	1841
870	12338	1827
871	12353	1813
872	12367	1799
873	12382	1785
874	12399	1771
875	12415	1757
876	12429	1743
877	12444	1729
878	12458	1715
879	12472	1700
880	12487	1686
881	12502	1672
882	12516	1658
883	12529	1644
884	12543	1629
885	12557	1615
886	12571	1601
887	12584	1587
888	12598	1572
889	12612	1558
890	12627	1544
891	12641	1530
892	12655	1516
893	12670	1502
894	12684	1488
895	12698	1473
896	12712	1459
897	12726	1445
898	12738	1431
899	12748	1416
900	12758	1401
901	12769	1387
902	12781	1373
903	12791	1358
904	12806	1344
905	12821	1330
906	12835	1316
907	12848	1301
908	12862	1287
909	12875	1273
910	12890	1259
911	12904	1245
912	12920	1231
913	12934	1217
914	12948	1202
915	12963	1188
916	12978	1174
917	12993	1160
918	13006	1146
919	13021	1132
920	13035	1118
921	13049	1103
922	13064	1089
923	13080	1075
924	13093	1061
925	13107	1047
926	13121	1033
927	13135	1019
928	13149	1004
929	13163	990
930	13177	976
931	13191	962
932	13205	948
933	13220	934
934	13234	920
935	13248	905
936	13264	891
937	13278	877
938	13292	863
939	13304	849
940	13318	835
941	13333	820
942	13348	806
943	13362	792
944	13378	778
945	13391	764
946	13403	750
947	13415	735
948	13427	721
949	13438	707
950	13449	693
951	13462	678
952	13474	664
953	13487	650
954	13501	636
955	13514	622
956	13527	607
957	13540	593
958	13554	579
959	13568	565
960	13582	551
961	13595	537
962	13611	522
963	13625	508
964	13639	494
965	13653	480
966	13667	466
967	13683	452
968	13698	438
969	13712	424
970	13727	409
971	13744	395
972	13758	381
973	13774	367
974	13789	353
975	13803	339
976	13817	325
977	13830	311
978	13847	297
979	13860	282
980	13874	268
981	13888	254
982	13902	240
983	13916	226
984	13932	212
985	13947	198
986	13960	183
987	13973	169
988	13988	155
989	14002	141
990	14017	127
991	14031	113
992	14046	99
993	14061	84
994	14077	70
995	14090	56
996	14105	42
997	14119	28
998	14134	14
999	14150	0
